sec, date, action, actiontype, player, game, score, reverse, break-point, serving, opponent, peri, 
9, 2024-03-20 18:35:23, ACE, undefined, Generoso Castillo, 2, 15-0, 15-0, , Juan Cruz Guillen, Generoso Castillo, W, 
8, 2024-03-20 18:35:07, DOUBLE_FAULT, undefined, Juan Cruz Guillen, 2, 0-0, 0-0, , Juan Cruz Guillen, Generoso Castillo, UE, 
7, 2024-03-20 18:35:01, SERVICE_FAULT, undefined, Generoso Castillo, 1, 0-0, 0-0, , Generoso Castillo, Juan Cruz Guillen, , 
6, 2024-03-20 18:34:54, WINNER, WINNER, Generoso Castillo, 1, 40-30, 30-40, , Generoso Castillo, Juan Cruz Guillen, W, 
5, 2024-03-20 18:34:36, WINNER, DROP_SHOT, Generoso Castillo, 1, 30-30, 30-30, , Generoso Castillo, Juan Cruz Guillen, W, 
40, 2024-03-20 18:47:40, WINNER, WINNER, Generoso Castillo, 6, 40-30, 40-30, , Juan Cruz Guillen, Generoso Castillo, W, 
4, 2024-03-20 18:34:15, WINNER, DROP_SHOT, Generoso Castillo, 1, 15-30, 30-15, , Generoso Castillo, Juan Cruz Guillen, W, 
39, 2024-03-20 18:47:20, WINNER, DROP_SHOT, Generoso Castillo, 6, 30-30, 30-30, , Juan Cruz Guillen, Generoso Castillo, W, 
38, 2024-03-20 18:46:39, WINNER, DROP_SHOT, Generoso Castillo, 6, 15-30, 15-30, , Juan Cruz Guillen, Generoso Castillo, W, 
37, 2024-03-20 18:46:06, WINNER, DROP_SHOT, Juan Cruz Guillen, 6, 15-15, 15-15, , Juan Cruz Guillen, Generoso Castillo, W, 
36, 2024-03-20 18:45:41, WINNER, OVERHEAD, Juan Cruz Guillen, 6, 15-0, 15-0, , Juan Cruz Guillen, Generoso Castillo, W, 
35, 2024-03-20 18:45:17, DOUBLE_FAULT, undefined, Juan Cruz Guillen, 6, 0-0, 0-0, , Juan Cruz Guillen, Generoso Castillo, UE, 
34, 2024-03-20 18:45:15, SERVICE_FAULT, undefined, Juan Cruz Guillen, 5, 0-0, 0-0, , Generoso Castillo, Juan Cruz Guillen, , 
33, 2024-03-20 18:45:05, WINNER, WINNER, Generoso Castillo, 5, 40-30, 30-40, , Generoso Castillo, Juan Cruz Guillen, W, 
32, 2024-03-20 18:44:08, WINNER, DROP_SHOT, Generoso Castillo, 5, 30-30, 30-30, , Generoso Castillo, Juan Cruz Guillen, W, 
31, 2024-03-20 18:43:59, UNFORCED_ERROR, undefined, Generoso Castillo, 5, 30-15, 15-30, , Generoso Castillo, Juan Cruz Guillen, UE, 
30, 2024-03-20 18:43:38, ACE, undefined, Generoso Castillo, 5, 15-15, 15-15, , Generoso Castillo, Juan Cruz Guillen, W, 
3, 2024-03-20 18:33:55, UNFORCED_ERROR, undefined, Generoso Castillo, 1, 15-15, 15-15, , Generoso Castillo, Juan Cruz Guillen, UE, 
29, 2024-03-20 18:43:26, WINNER, WINNER, Generoso Castillo, 5, 0-15, 15-0, , Generoso Castillo, Juan Cruz Guillen, W, 
28, 2024-03-20 18:42:37, FORCED_ERROR, undefined, Generoso Castillo, 5, 0-0, 0-0, , Generoso Castillo, Juan Cruz Guillen, FE, 
27, 2024-03-20 18:42:25, WINNER, WINNER, Generoso Castillo, 4, 40-30, 40-30, , Juan Cruz Guillen, Generoso Castillo, W, 
26, 2024-03-20 18:41:46, FORCED_ERROR, undefined, Juan Cruz Guillen, 4, 30-30, 30-30, , Juan Cruz Guillen, Generoso Castillo, FE, 
25, 2024-03-20 18:41:37, DOUBLE_FAULT, undefined, Generoso Castillo, 4, 30-15, 30-15, , Juan Cruz Guillen, Generoso Castillo, UE, 
24, 2024-03-20 18:41:36, SERVICE_FAULT, undefined, Generoso Castillo, 4, 30-15, 30-15, , Juan Cruz Guillen, Generoso Castillo, , 
23, 2024-03-20 18:41:10, ACE, undefined, Juan Cruz Guillen, 4, 30-0, 30-0, , Juan Cruz Guillen, Generoso Castillo, W, 
22, 2024-03-20 18:40:05, WINNER, WINNER, Generoso Castillo, 4, 15-0, 15-0, , Juan Cruz Guillen, Generoso Castillo, W, 
21, 2024-03-20 18:39:07, FORCED_ERROR, undefined, Juan Cruz Guillen, 4, 0-0, 0-0, , Juan Cruz Guillen, Generoso Castillo, FE, 
20, 2024-03-20 18:38:12, WINNER, OVERHEAD, Generoso Castillo, 3, Adv-40, 40-Adv, , Generoso Castillo, Juan Cruz Guillen, W, 
2, 2024-03-20 18:33:36, FORCED_ERROR, undefined, Generoso Castillo, 1, 15-0, 0-15, , Generoso Castillo, Juan Cruz Guillen, FE, 
19, 2024-03-20 18:38:04, WINNER, DROP_SHOT, Generoso Castillo, 3, 40-40, 40-40, , Generoso Castillo, Juan Cruz Guillen, W, 
18, 2024-03-20 18:37:54, UNFORCED_ERROR, undefined, Generoso Castillo, 3, 40-30, 30-40, , Generoso Castillo, Juan Cruz Guillen, UE, 
17, 2024-03-20 18:37:28, WINNER, WINNER, Generoso Castillo, 3, 30-30, 30-30, , Generoso Castillo, Juan Cruz Guillen, W, 
16, 2024-03-20 18:37:05, WINNER, WINNER, Generoso Castillo, 3, 15-30, 30-15, , Generoso Castillo, Juan Cruz Guillen, W, 
15, 2024-03-20 18:36:57, WINNER, WINNER, Generoso Castillo, 3, 0-30, 30-0, , Generoso Castillo, Juan Cruz Guillen, W, 
14, 2024-03-20 18:36:49, WINNER, WINNER, Juan Cruz Guillen, 3, 0-15, 15-0, , Generoso Castillo, Juan Cruz Guillen, W, 
13, 2024-03-20 18:36:31, FORCED_ERROR, undefined, Generoso Castillo, 3, 0-0, 0-0, , Generoso Castillo, Juan Cruz Guillen, FE, 
12, 2024-03-20 18:36:18, WINNER, WINNER, Generoso Castillo, 2, 40-0, 40-0, , Juan Cruz Guillen, Generoso Castillo, W, 
11, 2024-03-20 18:35:52, DOUBLE_FAULT, undefined, Juan Cruz Guillen, 2, 30-0, 30-0, , Juan Cruz Guillen, Generoso Castillo, UE, 
10, 2024-03-20 18:35:49, SERVICE_FAULT, undefined, Juan Cruz Guillen, 2, 30-0, 30-0, , Juan Cruz Guillen, Generoso Castillo, , 
1, 2024-03-20 18:33:28, WINNER, WINNER, Generoso Castillo, 1, 0-0, 0-0, , Generoso Castillo, Juan Cruz Guillen, W, 
